STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : BITLIS DSI 173. SB. MUD.
EARTHQUAKE DATE         : 23/10/2011
EPICENTER COORDINATES   : 
EARTHQUAKE DEPTH (km)   : 
EARTHQUAKE MAGNITUDE    : 
STATION ID              : 1302
STATION COORDINATES     : 38.47440N-42.15912E
STATION ALTITUDE (m)    : 1794
RECORDER TYPE           : CMG-5TD
RECORDER SERIAL NO      : 5J60
RECORD TIME             : 23/10/2011 10:41:18 (GMT)
NUMBER OF DATA          : 19107
SAMPLING INTERVAL (sec) : 0.01000000
RAW PGA VALUES (cm/s^2) : (N-S)  89.668149 (E-W) 102.243526 (U-D)  35.511623
Copyright EARTHQUAKE RESEARCH DEPARTMENT 
GENERAL DIRECTORATE OF DISASTER AFFAIRS 
       N-S           E-W           U-D
     0.006227       0.000563       0.002786  
     0.004968      -0.008567       0.003716  
     0.001190      -0.001956      -0.007447  
     0.006857      -0.000696       0.001235  
     0.005283      -0.006678       0.004336  
     0.013783       0.007174      -0.003726  
     0.003079       0.013156       0.005266  
    -0.001329      -0.008567       0.003096  
     0.006542       0.002137       0.002165  
     0.004653       0.003082       0.003096  
    -0.000069      -0.001641      -0.001245  
     0.012209       0.002767       0.016739  
     0.000246      -0.004474      -0.004656  
    -0.002903       0.003082       0.005886  
     0.019136      -0.000067       0.003716  
    -0.007940       0.007174      -0.001555  
    -0.010773       0.000878       0.008057  
     0.001505      -0.001326      -0.008687  
    -0.000069       0.009693       0.005886  
    -0.001014       0.006230      -0.002176  
     0.000246       0.011267      -0.004346  
     0.007487      -0.002585       0.007127  
     0.014413      -0.004474       0.003096  
     0.016302       0.006860       0.004026  
     0.009691       0.006860       0.001235  
     0.001190       0.009063       0.001855  
     0.001505       0.000878       0.004956  
     0.009691       0.004341      -0.000625  
     0.005283       0.002137       0.001545  
     0.001820      -0.005104       0.004956  
     0.002135      -0.001641       0.000925  
    -0.006366      -0.000382      -0.002176  
    -0.003532      -0.004789       0.004956  
     0.008746      -0.004160      -0.005897  
     0.005598       0.001193      -0.004346  
     0.004024      -0.001011       0.001235  
     0.008116       0.003396      -0.006827  
    -0.001014       0.002452       0.008677  
     0.000246       0.001507       0.003096  
     0.003709       0.007804       0.002786  
    -0.002588       0.000563       0.007127  
     0.001820       0.008434       0.003096  
     0.012524       0.012841       0.005266  
     0.003394       0.000878       0.000925  
    -0.007625      -0.001641       0.013018  
     0.009376       0.002452       0.001855  
     0.006857       0.009063       0.001235  
     0.003709      -0.005734       0.011778  
     0.002449      -0.000067      -0.008067  
    -0.000384       0.008749      -0.000005  
     0.005913      -0.004160       0.001855  
     0.002135      -0.000382      -0.006517  
     0.012839       0.006860       0.002476  
     0.012209       0.003082       0.000305  
    -0.001329      -0.005104      -0.004346  
     0.002135       0.002452       0.001545  
     0.004338       0.000563       0.000305  
     0.004338      -0.001326      -0.000005  
    -0.002903       0.001193       0.009297  
     0.002764      -0.000382       0.000305  
     0.010320       0.008434       0.003716  
     0.004024       0.003082       0.003406  
     0.004968      -0.004474       0.003096  
     0.004653      -0.004474       0.006507  
     0.001505       0.008119      -0.000625  
     0.001190       0.005285       0.009297  
     0.008116      -0.001011      -0.000625  
    -0.005107       0.008434      -0.002796  
    -0.000699       0.006860       0.008367  
     0.002449      -0.000067      -0.001866  
     0.005913       0.006230       0.000925  
     0.008116      -0.000382       0.005576  
     0.000246      -0.005104       0.000305  
     0.017247       0.008119       0.006196  
     0.001820       0.001822      -0.004036  
     0.001190      -0.004789       0.007437  
     0.007172      -0.004160       0.001235  
     0.003709       0.010638      -0.002486  
     0.008746      -0.001641       0.006817  
    -0.006051      -0.002271      -0.005276  
    -0.001958       0.012841       0.003096  
     0.004968       0.000248      -0.003106  
     0.001190      -0.005104      -0.000625  
     0.004024       0.010008       0.002786  
    -0.001329       0.003711       0.001235  
     0.004653      -0.002271      -0.005897  
     0.010320       0.000248       0.003096  
    -0.000069      -0.010141      -0.000005  
     0.012839       0.005285      -0.000935  
     0.003709      -0.000382       0.005266  
    -0.008570      -0.003215      -0.000625  
     0.011580       0.007174       0.004336  
     0.003394       0.004656       0.004336  
    -0.003847       0.002452       0.004336  
     0.002449       0.005600       0.005576  
     0.006542       0.005915       0.000305  
     0.004968       0.008119      -0.002796  
    -0.002273      -0.001956       0.007127  
    -0.008570      -0.002900       0.001235  
     0.004653       0.005600       0.004956  
     0.006542       0.010008      -0.001555  
     0.003079       0.000878       0.008057  
     0.008431      -0.003215      -0.000935  
