STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : AGRI BAYINDIRLIK VE ISKAN MUD.
EARTHQUAKE DATE         : 23/10/2011
EPICENTER COORDINATES   : 
EARTHQUAKE DEPTH (km)   : 
EARTHQUAKE MAGNITUDE    : 
STATION ID              : 401
STATION COORDINATES     : 39.71991N-43.01585E
STATION ALTITUDE (m)    : 1610
RECORDER TYPE           : CMG-5TD
RECORDER SERIAL NO      : 5D60
RECORD TIME             : 23/10/2011 10:40:43 (GMT)
NUMBER OF DATA          : 22241
SAMPLING INTERVAL (sec) : 0.01000000
RAW PGA VALUES (cm/s^2) : (N-S)  18.459245 (E-W)  15.087845 (U-D)   7.217400
Copyright EARTHQUAKE RESEARCH DEPARTMENT 
GENERAL DIRECTORATE OF DISASTER AFFAIRS 
       N-S           E-W           U-D
     1.424903      -0.869642      -0.200667  
    -0.231074       0.839553       0.123165  
     0.630410       0.756284       0.042363  
    -0.337508      -0.358135       0.141956  
    -1.240313      -1.116943      -0.269567  
     0.833259      -0.450169      -0.047833  
     0.612880       1.192661      -0.112349  
    -1.065637       0.500844       0.360558  
    -0.415767      -0.261719       0.502117  
     0.701783      -2.747251      -0.070383  
     0.606619      -0.792634       0.279130  
    -0.029477      -0.199112      -0.330951  
     0.159599       1.766775      -0.178744  
     0.325510       3.516664      -0.457478  
    -0.785154       2.572538       0.058023  
    -0.530966      -0.910963       0.196450  
     0.110765      -3.653812      -0.216326  
    -0.202901      -1.894532      -0.281468  
    -0.525957      -0.664288       0.381228  
     0.505820       1.138818       0.254702  
     0.793816       1.192661       0.059275  
     0.586584       1.065567      -0.461236  
    -0.200396       0.914056       0.267229  
    -0.911621      -0.738791      -0.082910  
    -0.939169      -1.092525       0.014803  
     0.070070      -0.122104       0.550974  
     1.427408      -0.777608      -0.339094  
     0.277302       0.435106      -0.096064  
     0.387491       0.073859      -0.255161  
     0.105130       0.526513       0.497106  
    -0.259248       0.339942      -0.121745  
    -1.003655      -0.549089      -0.288358  
    -0.864039       0.214726      -0.009625  
     0.230346       0.227874       0.251570  
     0.860181      -0.611071      -0.267688  
     1.331618       0.199700      -0.134898  
     0.293580       0.433228       0.086209  
     0.768147      -0.411352      -0.099195  
    -1.594673       0.519626       0.053638  
    -0.651799      -0.550968       0.098110  
    -0.882196       0.060085      -0.317171  
    -0.326864       1.341041       0.581666  
     0.806338      -1.249045      -0.381687  
    -0.390724      -0.100817      -0.402357  
     0.136434       2.117379       0.880443  
    -0.224813      -1.378643      -0.237623  
     0.275423      -0.739417       0.412547  
    -0.434550      -0.287389       0.045495  
     0.729330      -0.269858      -0.218205  
    -0.027599       0.475801      -0.485038  
     0.346796       2.374697       0.336130  
     0.664218      -1.725491      -0.111723  
     0.176503      -1.528902       0.763312  
     1.064908      -0.001897      -0.260798  
    -1.275999       0.544044      -0.961077  
    -1.269738       2.109866       0.167637  
    -0.209161       0.073233       0.240922  
     0.491420       1.182017       0.570391  
     1.388591      -3.369573      -0.810122  
    -0.649921       0.179040       0.517776  
     0.457612      -2.972639      -0.290237  
    -0.413263       1.698532       0.239043  
    -0.947934       5.350448       0.625511  
     0.215946      -2.759146      -1.477830  
    -0.207283      -0.643627      -0.377303  
     1.014196       2.165587       0.740763  
    -0.919134       2.986375      -0.076646  
    -1.630986      -1.380522       0.239669  
     1.320348      -5.389928       0.021067  
     1.473737      -0.950406       0.270361  
     0.046905       0.217231       0.215867  
    -1.215896      -0.735661      -0.298380  
    -1.034959       3.008288       0.286647  
     1.669074       0.599765      -0.657289  
     1.280279       2.313967      -0.018394  
     0.822616      -1.522641       0.697544  
    -0.017581      -2.906901      -0.413632  
    -1.594047      -0.353753      -0.281468  
    -0.494653      -0.025062       0.074935  
     0.460742       0.801362       0.099989  
     0.137060       2.557512       0.505875  
    -1.091932       1.473144       0.146967  
    -0.325612      -3.616248       0.051759  
     1.052387      -3.248740      -1.334392  
    -0.302447       3.693218       1.015738  
     0.451977       1.880095       0.309196  
    -0.760737      -0.837712      -0.739343  
    -0.477749       2.603842       0.463909  
     0.443212      -2.302109      -0.468126  
    -0.457715      -1.713595       0.981914  
    -0.102728      -2.675878      -0.905956  
    -0.661190       2.100475      -0.230733  
     0.977257       3.365153       0.364943  
     0.940319       0.805744      -0.088547  
     1.089325      -0.511525       0.167011  
     0.399387      -2.348439      -0.439939  
    -1.397458      -0.569750       0.156362  
    -0.894091      -0.342484      -0.067251  
    -0.516566       1.786183       0.662467  
     0.774408      -0.837085      -0.297128  
     0.192781      -0.051357      -0.573982  
     0.028122       2.969471       1.251879  
     1.489389      -3.928035      -0.538905  
    -1.006159      -1.036805      -0.514477  
     0.588462       3.148530       0.123791  
     0.164607      -0.925989      -0.376050  
    -1.585282       1.861313       0.302932  
    -0.207909       0.416950       0.229021  
     0.100747       0.241022      -0.060987  
     0.947832      -0.296780      -0.030295  
     0.234102      -3.599344       0.753917  
     1.578919      -5.212122      -0.228853  
     0.428186      -0.485229      -0.022152  
    -1.214643       3.621845      -0.071635  
    -1.260973       3.701983      -0.808870  
    -1.922112       4.380652      -0.217579  
    -0.396985       2.030354       0.401272  
     1.302818      -2.287083      -0.064119  
     0.997918      -4.951673      -0.052218  
     0.503316      -3.529223       0.576655  
    -0.380707      -1.528276       0.076814  
    -0.911621       1.614638       0.035473  
    -0.387594       3.848485       0.060528  
     0.599106       3.072774       0.113143  
     1.011692      -0.226033      -0.394214  
     0.461995      -1.823159      -0.111096  
    -0.322482      -2.155607       0.381855  
    -0.526583      -1.250297       0.608599  
    -0.097719      -1.177046      -0.739343  
    -1.126366       1.355441      -0.608432  
     0.106382       3.064635       0.516523  
     1.049882       0.874613       0.107506  
     0.122034       0.180918      -0.125503  
     0.151460      -1.303514      -0.203799  
    -0.129023      -1.077500       0.471425  
    -0.609226      -0.630480       0.059902  
    -0.855274       0.584739       0.090594  
    -0.206031       0.433854      -0.427412  
    -0.361298       1.145079      -0.040317  
     0.096365       1.196417       0.175780  
     1.167585      -1.176420      -0.238875  
     0.165860       0.029407       0.153230  
     0.846407      -0.219146      -0.076020  
     1.019831      -0.453925      -0.010251  
     0.254137      -0.490238      -0.385445  
    -0.624251      -0.341231       0.068045  
    -0.213544      -0.044470       0.126297  
    -0.576043       0.542165       0.309196  
    -0.559139      -0.204120      -0.219458  
    -0.598582      -0.743174      -0.356632  
    -0.115250       1.674741       0.599204  
     0.304849      -0.323075      -0.696123  
    -0.643660       1.022367       0.314207  
     1.613979       1.481283       0.528424  
     0.281058      -2.285831      -0.711156  
     0.208433      -0.962927       0.183296  
     0.684252       0.300499       0.386239  
     0.621019      -0.723139       0.260966  
    -1.344868      -1.102543       0.155736  
    -1.988476      -0.535316       0.047374  
    -1.001151       0.361229      -0.331578  
    -0.479001       1.120036      -0.261425  
     1.673456       1.284694      -0.040317  
     2.217519       0.665503      -0.020273  
     1.653422      -0.130243      -0.142415  
    -0.117128      -0.244189       0.078066  
    -1.032455      -0.776982       0.021067  
    -1.443162      -0.212885      -0.027790  
    -1.538326       0.388150       0.121912  
    -1.148279       0.220361      -0.027790  
     0.513333       0.532148       0.422568  
     0.877711       0.015633       0.037353  
     0.852668      -0.689331      -0.361643  
     0.237232      -0.272989       0.031715  
    -0.118380      -0.048853       0.082451  
    -0.304325       0.093267       0.016682  
    -0.500914       0.329925       0.058649  
     0.140816      -0.351249      -0.107338  
     0.910267      -0.452047      -0.015262  
     0.803833       0.026903       0.020441  
    -0.097093       0.099528      -0.012757  
    -0.375072       0.201579       0.094978  
    -0.422654       0.117684      -0.010251  
    -0.548496       0.285473      -0.072262  
    -0.478375       0.257300      -0.100448  
     0.262276       0.300499       0.164505  
     0.738721      -0.084539      -0.129887  
     0.249754      -0.630480      -0.366654  
    -0.408254       0.190309       0.205845  
    -0.263630      -0.286763       0.107506  
    -0.261126       0.034416       0.101868  
     0.148955       0.361229      -0.019020  
     0.252884      -0.146521      -0.137404  
     0.536498      -0.087044       0.143209  
     0.506446      -0.323701       0.056144  
    -0.117754      -0.381300      -0.098569  
    -0.391350       0.136466      -0.032801  
    -0.259248       0.400045       0.073682  
    -0.205405       0.272325       0.131934  
    -0.026973      -0.050731      -0.117987  
    -0.051390       0.047563      -0.080404  
     0.173372       0.257926       0.172022  
     0.269789      -0.475838      -0.126129  
    -0.241718       0.035042      -0.078525  
    -0.282413       0.341820       0.061155  
    -0.254865       0.131458       0.078693  
     0.189651      -0.001271      -0.042822  
    -0.066416      -0.076400      -0.112976  
    -0.191631      -0.068887       0.014803  
     0.254137      -0.030696       0.216494  
     0.487038      -0.246067      -0.007120  
     0.126417      -0.274867      -0.236996  
    -0.154067       0.157753       0.024825  
     0.147077       0.180918       0.184549  
     0.028122      -0.038209       0.041737  
    -0.260500      -0.182207      -0.163085  
    -0.204779       0.117684      -0.012757  
     0.282310       0.233509       0.208977  
